video_id,split,shard,temporal_distance,pairs,mean_motion_magnitude,median_motion_magnitude,p90_motion_magnitude,mean_motion_coverage,mean_dx,mean_dy,mean_direction
0ZSqAjagrVo,train,Dataset_Shard_0000000_0099999,5,50,2.9318814808130265,2.431365728378296,6.0088536739349365,0.48963807397959186,-0.25120491355657576,0.035112078785896304,-8.107461687044689
0ZSqAjagrVo,train,Dataset_Shard_0000000_0099999,10,50,3.8056076121330262,3.096375346183777,8.482014846801759,0.5644152582908163,-0.015143948895856739,-0.19492019601049834,3.766011145517104
0uLJTnNb2Es,train,Dataset_Shard_0000000_0099999,1,50,1.5831168019771575,1.3141721487045288,2.860904622077942,0.3903714923469388,-0.009804563629440963,0.2832857496518409,28.841714519035587
0uLJTnNb2Es,train,Dataset_Shard_0000000_0099999,2,50,1.9735627084970475,1.8131071329116821,3.637943148612976,0.40098891900510203,-0.09708866534754634,0.13299251275137067,-6.3208097859907335
0uLJTnNb2Es,train,Dataset_Shard_0000000_0099999,5,50,2.580625327825546,2.3981170654296875,3.9846464395523076,0.4314752072704081,-0.12458102321252226,0.3689702582638711,38.80149208242237
0uLJTnNb2Es,train,Dataset_Shard_0000000_0099999,10,50,3.1576552629470824,2.8729926347732544,5.139231729507446,0.4546787308673469,-0.0800215543806553,0.5277029634220526,43.66518098682823
0w6Ky8PBYSQ,train,Dataset_Shard_0000000_0099999,1,50,5.0935000413656235,2.4532413482666016,12.151378631591797,0.5277949617346939,0.025420353785157203,0.0965483121201396,24.699908474480218
0w6Ky8PBYSQ,train,Dataset_Shard_0000000_0099999,2,50,5.586235363651067,3.402716040611267,12.26572036743164,0.5981345663265306,0.050425971674267205,0.9102600357332267,2.9714736661443193
0w6Ky8PBYSQ,train,Dataset_Shard_0000000_0099999,5,50,6.903012791797519,5.967387914657593,13.1932692527771,0.6935997289540816,-0.09099266745848582,0.18279183723963796,5.342734965537472
0w6Ky8PBYSQ,train,Dataset_Shard_0000000_0099999,10,50,8.66280386172235,9.894544124603271,13.340077590942382,0.7669921875,-0.6091929456498474,1.5335265726828948,47.54790412101741
0xr9UkXgp2E,val,Dataset_Shard_0000000_0099999,1,50,7.873676551580429,5.329587936401367,16.11241073608399,0.6106273915816327,-1.0998672183603049,-0.6030578111112118,-6.33697775801971
0xr9UkXgp2E,val,Dataset_Shard_0000000_0099999,2,50,7.194775770902634,7.426841735839844,12.348670291900635,0.7394192442602041,0.3005253081722185,0.1880791264772415,-11.482677522945599
0xr9UkXgp2E,val,Dataset_Shard_0000000_0099999,5,50,9.386901762485504,7.657330513000488,15.344058418273935,0.7183354591836735,-0.2538918148353696,0.11743386210873723,14.079879278057025
0xr9UkXgp2E,val,Dataset_Shard_0000000_0099999,10,50,7.309364039897918,6.904314994812012,11.928379154205322,0.7169224330357143,-0.3296792097389698,-0.02006766641512513,28.22311187302741
0zLSpoyKV_A,train,Dataset_Shard_0000000_0099999,1,50,5.500502481460571,6.2063586711883545,8.459117031097412,0.557764668367347,0.19146344155073167,-0.03685392647865229,-7.251738043096739
0zLSpoyKV_A,train,Dataset_Shard_0000000_0099999,2,50,6.13337553024292,6.129819631576538,8.873268032073975,0.5819180484693878,0.012532115615904331,0.7690562738478184,18.85561861056844
0zLSpoyKV_A,train,Dataset_Shard_0000000_0099999,5,50,7.657203249931335,7.070971727371216,9.91838035583496,0.6366075414540816,-0.18782211951911448,-0.006887808591127396,28.415372756644437
0zLSpoyKV_A,train,Dataset_Shard_0000000_0099999,10,50,6.585229687690735,6.4408488273620605,9.240282249450685,0.6206166294642856,-0.21329625686630607,0.6145034885779023,24.910738307708613
10gPc7VqgJk,train,Dataset_Shard_0000000_0099999,1,50,3.6349227863550184,3.297689199447632,6.174621677398682,0.5386702806122449,0.20303090006113053,0.34629361175000667,22.789672594101017
10gPc7VqgJk,train,Dataset_Shard_0000000_0099999,2,50,4.46485011100769,3.9891059398651123,7.82271933555603,0.5775043845663265,0.05594123460352421,-0.5325522852689027,-8.326766666720799
10gPc7VqgJk,train,Dataset_Shard_0000000_0099999,5,50,5.21677853345871,4.692054748535156,8.941995525360108,0.6405325255102041,0.3657202022522688,0.034265988320112226,1.3908902330452353
10gPc7VqgJk,train,Dataset_Shard_0000000_0099999,10,50,5.009239747524261,4.928332090377808,7.79030613899231,0.6303810586734694,0.20775515038403683,-0.11303200609982014,-6.438204718502351
1ER3kxd2RvQ,train,Dataset_Shard_0000000_0099999,1,50,1.8100671428442001,1.4523533582687378,3.3211132764816287,0.3033988360969388,-0.07139739272883162,0.05565493617206812,-0.5265435515634241
1ER3kxd2RvQ,train,Dataset_Shard_0000000_0099999,2,50,2.388681801557541,1.8284337520599365,3.8480254650115975,0.3485216039540816,-0.04375413917936385,0.2022202980518341,-9.9948331241432
1ER3kxd2RvQ,train,Dataset_Shard_0000000_0099999,5,50,2.730017523765564,2.3967665433883667,5.468116283416748,0.3683940529336735,-0.03561453111469746,0.2648966561537236,2.8026882098334993
1ER3kxd2RvQ,train,Dataset_Shard_0000000_0099999,10,50,3.1525077867507934,2.5156548023223877,5.716345024108887,0.4317299107142857,-0.15715220361948012,0.10826978653669357,6.947370074732768
1FhZqPfKWjE,train,Dataset_Shard_0000000_0099999,1,50,1.6710610765218734,1.1336196064949036,3.1413530588150045,0.3023732461734694,-0.012239840428810567,-0.17272830188274382,8.38179077591718
1FhZqPfKWjE,train,Dataset_Shard_0000000_0099999,2,50,2.191049391031265,1.4464105367660522,3.6271551847457912,0.3260008769132653,-0.07265709256054834,-0.2618672903627157,-27.270759482730686
1FhZqPfKWjE,train,Dataset_Shard_0000000_0099999,5,50,3.0656293880939485,2.149874687194824,8.231992530822755,0.3885044642857143,0.04490297405514866,-0.06794504310935735,0.7260141833459356
1FhZqPfKWjE,train,Dataset_Shard_0000000_0099999,10,50,3.3194613182544708,2.4628950357437134,7.184456253051759,0.4459155771683673,0.16110996851697565,-0.5377020371984691,-3.3401624522868025
1YmFjGfQGnw,train,Dataset_Shard_0000000_0099999,1,50,2.342963125705719,2.1774556636810303,3.9449601650238044,0.3633812978316327,0.2411516736028716,0.13287240162491798,-15.626512377550542
1YmFjGfQGnw,train,Dataset_Shard_0000000_0099999,2,50,2.650350263118744,2.6458150148391724,4.4279783248901365,0.3870001594387755,0.015428662970662118,0.1300746713578701,1.4833898159675505
1YmFjGfQGnw,train,Dataset_Shard_0000000_0099999,5,50,3.285034898519516,3.3212730884552,4.796379137039185,0.45759845344387756,0.05242416221648455,0.08761736117303372,15.932930596860439
1YmFjGfQGnw,train,Dataset_Shard_0000000_0099999,10,50,3.340185074806213,3.081672787666321,5.36329665184021,0.45052256058673473,0.1424817914608866,-0.13802714505232871,0.5744680253252148
1cMfYuRTDX4,train,Dataset_Shard_0000000_0099999,1,50,11.931281299591065,10.657621383666992,17.762866973876957,0.9519650829081633,0.002594577521085739,-0.23605381801724434,6.306997644315249
1cMfYuRTDX4,train,Dataset_Shard_0000000_0099999,2,50,11.587459275126458,11.996293544769287,18.30057144165039,0.9384466677295918,-0.5662037834152579,1.1725332951545715,12.770318117382498
1cMfYuRTDX4,train,Dataset_Shard_0000000_0099999,5,50,12.640400867462159,11.786610126495361,15.30991868972779,0.9713030133928571,0.15784534990787505,0.06603533446788788,17.65253845541211
1cMfYuRTDX4,train,Dataset_Shard_0000000_0099999,10,50,11.229573497772217,10.565438270568848,14.920587825775147,0.9697684151785714,0.5223638421297073,-1.6059458604454995,-45.155957167426685
