video_id,split,shard,temporal_distance,pairs,mean_ssim,median_ssim,std_ssim,mean_mae,mean_mse,mean_psnr
7Uke7HVpaeA,train,Dataset_Shard_0000000_0099999,1,50,0.6963735824823379,0.7324031591415405,0.12422303859735123,0.06379802484065294,0.017889840067364274,18.81887917252107
7ZUOn2pZRls,train,Dataset_Shard_0000000_0099999,1,50,0.8226195620000363,0.8550317585468292,0.13400392517875,0.04555026343092322,0.01855435239383951,21.863540039903988
7erD56xKJaM,train,Dataset_Shard_0000000_0099999,1,50,0.34620598793029783,0.2816123515367508,0.23388499072022034,0.19445169327780604,0.09257164262584411,12.468749370595084
7nFvvB200qQ,train,Dataset_Shard_0000000_0099999,1,50,0.7476487031579018,0.7593758702278137,0.1563159833677946,0.05512500923126936,0.017428663421887904,20.022250458883462
7nYRFn4c0B8,train,Dataset_Shard_0000000_0099999,1,50,0.7439876502752304,0.7940335273742676,0.1638995152296632,0.06239053247496486,0.022423631884157656,18.35181760638112
7tf2BC4mC8s,train,Dataset_Shard_0000000_0099999,1,50,0.8648426377773285,0.8874184787273407,0.0716361441352736,0.03906744444742799,0.0067994707613252105,22.935975308475122
87ygy8_a7Uk,train,Dataset_Shard_0000000_0099999,1,50,0.6324770319461822,0.6850489675998688,0.19704631628303096,0.09127997921779751,0.03465786486165598,16.470850286727888
8BgfmtrtmLI,train,Dataset_Shard_0000000_0099999,1,50,0.8583530372381211,0.8744780123233795,0.1085786500275333,0.026870112782344222,0.005828436114825308,24.461577971866788
8Fo-MdmXmBE,train,Dataset_Shard_0000000_0099999,1,50,0.5327554959058761,0.5290607810020447,0.12133323296267438,0.07696143500506877,0.02022705846466124,18.008593508484577
8efNcdaz4zU,train,Dataset_Shard_0000000_0099999,1,50,0.8357080113887787,0.8740567862987518,0.09799501280843831,0.04015937132760882,0.012795011778362095,20.353765885961263
8rYV4ViS9U4,train,Dataset_Shard_0000000_0099999,1,50,0.8375252941250801,0.8981572389602661,0.16266180801241006,0.042798342993482945,0.016707873677951283,23.01227379038275
91wTIWNvkCg,train,Dataset_Shard_0000000_0099999,1,50,0.7977737700939178,0.8384210467338562,0.1379651789073513,0.04102339718490839,0.011463481470709667,21.521529551519876
96ChCVGsYPM,train,Dataset_Shard_0000000_0099999,1,50,0.8014383175969124,0.8582101762294769,0.18597931898924344,0.043391073225066065,0.012895754717465024,21.40437135776051
9AE2GviExXs,train,Dataset_Shard_0000000_0099999,1,50,0.577584370970726,0.605728268623352,0.12695818143216134,0.08402252994477749,0.025526931285858156,16.786928156337957
9MPPZdAWF4U,train,Dataset_Shard_0000000_0099999,1,50,0.8807655847072602,0.8860756456851959,0.06198173417756318,0.03189596336334944,0.008633598349988461,22.147941930611665
9Tq2xbgsGkM,train,Dataset_Shard_0000000_0099999,1,50,0.4869634997099638,0.36266395449638367,0.2740479837522632,0.1426437886059284,0.05048138381680474,15.551331587243151
9lVD-SGOSjg,train,Dataset_Shard_0000000_0099999,1,50,0.26417245864868166,0.22961028665304184,0.14250437732880744,0.18063262358307838,0.07778541767969728,11.739475438938195
9oBVaGfsKf4,train,Dataset_Shard_0000000_0099999,1,50,0.7215427315235138,0.7151520550251007,0.11070041283578419,0.056326762530952694,0.01656425098888576,18.965307044689354
9vQKn6w95ow,train,Dataset_Shard_0000000_0099999,1,50,0.3767398738861084,0.35004790127277374,0.14895252651743782,0.1308490812033415,0.04018872673623264,14.520916355063273
9yQHxxtlxt4,train,Dataset_Shard_0000000_0099999,1,50,0.7917166268825531,0.8302443623542786,0.11129972634166882,0.04739749067462981,0.01172232132870704,21.13590120608816
A2dimG5cbgc,train,Dataset_Shard_0000000_0099999,1,50,0.8091641873121261,0.8352858424186707,0.118932093201749,0.050528864567168055,0.022110590261872856,18.594821057145253
AE1Dd0KPmlw,train,Dataset_Shard_0000000_0099999,1,50,0.7422734019160271,0.8232662677764893,0.23867316054999319,0.059873720217728986,0.017473162221131135,22.658766432548365
AG0EifkPvGY,train,Dataset_Shard_0000000_0099999,1,50,0.5135462373495102,0.5043616741895676,0.23678085532266857,0.107162579074502,0.033795103738084434,16.71230793036689
AKC7bYyldHo,train,Dataset_Shard_0000000_0099999,1,50,0.8941189253330231,0.931499719619751,0.11304999404718948,0.02333784039132297,0.005271932142495644,27.32671901294723
AOHQ0aYQ4QI,train,Dataset_Shard_0000000_0099999,1,50,0.8131634497642517,0.8186352849006653,0.09845930044797808,0.036715147783979774,0.009819792740454431,21.612614194757363
AQ_qy4s9-58,train,Dataset_Shard_0000000_0099999,1,50,0.6567955034971237,0.716507613658905,0.18927960758164972,0.07738800715655088,0.023740683887153863,18.89993139488562
AXEbpZ0lhEM,train,Dataset_Shard_0000000_0099999,1,50,0.6571667420864106,0.6665068566799164,0.11237420605372415,0.06817968312650918,0.021821009842678905,17.50008839473035
Aw4Vaqqq_Eg,train,Dataset_Shard_0000000_0099999,1,50,0.8411490172147751,0.8924663662910461,0.17708398920340543,0.04352903817780316,0.013679714358295314,22.031464823833698
Aymbap8XcG8,train,Dataset_Shard_0000000_0099999,1,50,0.6801801024377346,0.7270365357398987,0.19293687372786705,0.0764869635552168,0.02496029664063826,18.159451810264173
AzqgcU5_3mo,train,Dataset_Shard_0000000_0099999,1,50,0.8088361644744873,0.838265061378479,0.11500952404278113,0.05493013344705105,0.013368559689261018,20.993943989748733
B3np71w5K1c,train,Dataset_Shard_0000000_0099999,1,26,0.6787085338280752,0.792710691690445,0.2692083658645106,0.0815511719108774,0.02760909794820831,20.240483115213753
B3np71w5K1c,train,Dataset_Shard_0100000_0199999,1,24,0.8226081170141697,0.8896974325180054,0.20721384349586225,0.04024426309307216,0.011836652674156622,29.65735474031024
B5IAda_ZR3Q,train,Dataset_Shard_0100000_0199999,1,50,0.6493877805769444,0.7272599935531616,0.2745824968546604,0.07237183860735968,0.024307153488189216,19.717980988416
BDFwFmaztC0,train,Dataset_Shard_0100000_0199999,1,50,0.7385385411977768,0.7749065160751343,0.14136089519920597,0.04895364748314023,0.014453421370126307,20.6554686566124
BI2jJ2nsUaw,train,Dataset_Shard_0100000_0199999,1,50,0.8390245234966278,0.8543468117713928,0.07906637830801243,0.03620591389015317,0.00802574872970581,22.479843387642028
BaGpiUru22U,train,Dataset_Shard_0100000_0199999,1,50,0.7894021397829056,0.791976660490036,0.10307488238047925,0.047300626179203394,0.01298288848483935,21.191470155026213
